Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_IMMUNE_SYSTEM_DEVELOPMENT	968	20	8.90739834394877e-16	6.546937782802346e-12	PARP1:LGALS3:FOS:BLM:IL4R:ZFPM1:PLEK:SP3:EP300:KAT2B:MLH1:POLQ:KDR:REST:TLR2:CSF1R:UBD:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_IMMUNE_SYSTEM_DEVELOPMENT
GO_bp	GO_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	1824	23	1.4314042171340458e-13	5.260410497967618e-10	PARP1:FOXM1:BLM:BRCA1:ICAM1:APOE:PLEK:TRIB3:EP300:IRAK2:ARHGEF3:HTT:TLR6:KDR:EGF:TLR2:LARS:CSF1R:FGFR4:UBD:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION
GO_bp	GO_RESPONSE_TO_ENDOGENOUS_STIMULUS	1634	21	1.5194361993105246e-12	3.7226186883107854e-09	EPRS:PARP1:FOS:BLM:BRCA1:ICAM1:APOE:TRIB3:EP300:KAT2B:FGFRL1:TLR6:REST:TLR2:LARS:FGFR4:CTSB:LPL:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_ENDOGENOUS_STIMULUS
GO_bp	GO_PROTEIN_PHOSPHORYLATION	1949	22	5.02232522072066e-12	8.528357329405971e-09	FOXM1:MAPK6:BLM:ICAM1:TYK2:APOE:TRIB3:RIPK4:IRAK2:KAT2B:HTT:TLR6:KDR:EGF:TLR2:CCNH:RIOK2:CSF1R:FGFR4:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PROTEIN_PHOSPHORYLATION
GO_bp	GO_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS	1373	19	6.3033315300001445e-12	8.528357329405971e-09	EPRS:PARP1:FOS:BLM:BRCA1:ICAM1:TRIB3:EP300:KAT2B:FGFRL1:TLR6:REST:LARS:FGFR4:CTSB:LPL:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS
GO_bp	GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	1771	21	6.961924350535487e-12	8.528357329405971e-09	PARP1:FOS:MAPK6:IL4R:ZFPM1:BRCA1:ICAM1:APOE:PLEK:EP300:MLH1:TLR6:KDR:REST:EGF:TLR2:CSF1R:LPL:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS
GO_bp	GO_CELL_ACTIVATION	1408	19	9.732688444043913e-12	1.0219322866246108e-08	LGALS3:SERPINA1:BLM:IL4R:ZFPM1:ICAM1:APOE:PLEK:ACTR1B:SP3:EP300:MLH1:TLR6:TLR2:UBD:CTSB:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELL_ACTIVATION
GO_bp	GO_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	505	13	1.1973674149836867e-11	1.1000813125162623e-08	BLM:APOE:TRIB3:IRAK2:KAT2B:HTT:TLR6:EGF:CCNH:CSF1R:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY
GO_bp	GO_DEFENSE_RESPONSE	1684	20	2.4341096188291245e-11	1.987856188710452e-08	EPRS:OAS3:LGALS3:FOS:SERPINA1:IL4R:ICAM1:TYK2:APOE:EP300:IRAK2:TLR6:TLR2:CSF1R:UBD:TAP1:CTSB:LPL:RIPK2:JAK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DEFENSE_RESPONSE
GO_bp	GO_RESPONSE_TO_NITROGEN_COMPOUND	968	16	2.9354910931795745e-11	2.1575859534869875e-08	EPRS:PARP1:FOS:BLM:BRCA1:ICAM1:APOE:TRIB3:KAT2B:TLR6:TLR2:LARS:LPL:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_NITROGEN_COMPOUND
